Dates,Volume
2021-01-04 09:30:00,7362.1
2021-01-04 09:31:00,1896.14
2021-01-04 09:32:00,2771.61
2021-01-04 09:33:00,1997.21
2021-01-04 09:34:00,4639.18
2021-01-04 09:35:00,4200.22
2021-01-04 09:36:00,2897.89
2021-01-04 09:37:00,2185.39
2021-01-04 09:38:00,1926.62
2021-01-04 09:39:00,1303.32
2021-01-04 09:40:00,3515.14
2021-01-04 09:41:00,2634.25
2021-01-04 09:42:00,3225.4
2021-01-04 09:43:00,2802.09
2021-01-04 09:44:00,2954.86
2021-01-04 09:45:00,2834.37
2021-01-04 09:46:00,2494.59
2021-01-04 09:47:00,2744.23
2021-01-04 09:48:00,1792.97
2021-01-04 09:49:00,1779.69
2021-01-04 09:50:00,1754.44
2021-01-04 09:51:00,1499.33
2021-01-04 09:52:00,1734.85
2021-01-04 09:53:00,1527.95
2021-01-04 09:54:00,1067.08
2021-01-04 09:55:00,903.5
2021-01-04 09:56:00,1103.28
2021-01-04 09:57:00,1558.97
2021-01-04 09:58:00,804.35
2021-01-04 09:59:00,1013.84
2021-01-04 10:00:00,502.48
2021-01-04 10:01:00,1350.43
2021-01-04 10:02:00,1276.76
2021-01-04 10:03:00,777.05
2021-01-04 10:04:00,670.28
2021-01-04 10:05:00,1164.37
2021-01-04 10:06:00,944.16
2021-01-04 10:07:00,791.05
2021-01-04 10:08:00,1402.71
2021-01-04 10:09:00,876.23
2021-01-04 10:10:00,758.99
2021-01-04 10:11:00,855.09
2021-01-04 10:12:00,893.59
2021-01-04 10:13:00,1463.21
2021-01-04 10:14:00,1343.88
2021-01-04 10:15:00,1415.89
2021-01-04 10:16:00,647.41
2021-01-04 10:17:00,2103.43
2021-01-04 10:18:00,1026.19
2021-01-04 10:19:00,824.91
2021-01-04 10:20:00,641.7
2021-01-04 10:21:00,2752.19
2021-01-04 10:22:00,1233.7
2021-01-04 10:23:00,926.98
2021-01-04 10:24:00,989.93
2021-01-04 10:25:00,966.66
2021-01-04 10:26:00,995.42
2021-01-04 10:27:00,784.03
2021-01-04 10:28:00,837.97
2021-01-04 10:29:00,602.74
2021-01-04 10:30:00,714.43
2021-01-04 10:31:00,1296.58
2021-01-04 10:32:00,2130.46
2021-01-04 10:33:00,1061.06
2021-01-04 10:34:00,945.95
2021-01-04 10:35:00,868.29
2021-01-04 10:36:00,858.57
2021-01-04 10:37:00,499.7
2021-01-04 10:38:00,750.12
2021-01-04 10:39:00,484.44
2021-01-04 10:40:00,751.74
2021-01-04 10:41:00,949.93
2021-01-04 10:42:00,897.13
2021-01-04 10:43:00,1109.19
2021-01-04 10:44:00,918.78
2021-01-04 10:45:00,1063.6
2021-01-04 10:46:00,633.16
2021-01-04 10:47:00,1323.58
2021-01-04 10:48:00,1106.1
2021-01-04 10:49:00,1158.91
2021-01-04 10:50:00,751.66
2021-01-04 10:51:00,947.82
2021-01-04 10:52:00,1142.56
2021-01-04 10:53:00,924.71
2021-01-04 10:54:00,721.23
2021-01-04 10:55:00,819.69
2021-01-04 10:56:00,612.77
2021-01-04 10:57:00,1076.06
2021-01-04 10:58:00,1799.16
2021-01-04 10:59:00,2041.9
2021-01-04 11:00:00,1700.05
2021-01-04 11:01:00,895.44
2021-01-04 11:02:00,874.86
2021-01-04 11:03:00,1116.03
2021-01-04 11:04:00,2035.57
2021-01-04 11:05:00,1404.89
2021-01-04 11:06:00,1064.03
2021-01-04 11:07:00,877.9
2021-01-04 11:08:00,1383.56
2021-01-04 11:09:00,559.46
2021-01-04 11:10:00,789.97
2021-01-04 11:11:00,805.59
2021-01-04 11:12:00,615.69
2021-01-04 11:13:00,880.29
2021-01-04 11:14:00,478.48
2021-01-04 11:15:00,528.36
2021-01-04 11:16:00,731.24
2021-01-04 11:17:00,630.27
2021-01-04 11:18:00,542.76
2021-01-04 11:19:00,582.59
2021-01-04 11:20:00,1124.48
2021-01-04 11:21:00,1058.04
2021-01-04 11:22:00,1186.14
2021-01-04 11:23:00,1009.44
2021-01-04 11:24:00,702.45
2021-01-04 11:25:00,686.08
2021-01-04 11:26:00,1238.67
2021-01-04 11:27:00,719.82
2021-01-04 11:28:00,611.09
2021-01-04 11:29:00,664.3
2021-01-04 11:30:00,443.61
2021-01-05 09:30:00,4671.77
2021-01-05 09:31:00,1723.09
2021-01-05 09:32:00,2014.77
2021-01-05 09:33:00,1420.21
2021-01-05 09:34:00,1343.25
2021-01-05 09:35:00,2563.72
2021-01-05 09:36:00,1526.12
2021-01-05 09:37:00,1316.43
2021-01-05 09:38:00,878.55
2021-01-05 09:39:00,827.08
2021-01-05 09:40:00,1046.01
2021-01-05 09:41:00,781.6
2021-01-05 09:42:00,678.5
2021-01-05 09:43:00,1344.84
2021-01-05 09:44:00,623.91
2021-01-05 09:45:00,666.73
2021-01-05 09:46:00,506.53
2021-01-05 09:47:00,1476.04
2021-01-05 09:48:00,778.09
2021-01-05 09:49:00,528.93
2021-01-05 09:50:00,978.98
2021-01-05 09:51:00,567.23
2021-01-05 09:52:00,565.68
2021-01-05 09:53:00,480.91
2021-01-05 09:54:00,456.84
2021-01-05 09:55:00,975.7
2021-01-05 09:56:00,1315.7
2021-01-05 09:57:00,611.22
